IP Address,Common Name
3.33.185.106:443,*.jeep.com.br
3.33.188.106:443,*.jeep.com.br
3.65.3.63:443,aemstagems4-appdig-connectivity.jeep.com|aemstagems4-connect.jeep.com|aemstagems4-connectivity.jeep.com
3.82.78.83:443,*.jeep.com.br
3.212.86.231:443,*.jeep.com.br
3.212.104.64:443,*.jeep.com.br
3.212.186.144:443,*.jeep.com.br
3.222.140.20:443,e-shop.jeep.com
3.224.146.70:443,*.jeep.com.br
3.227.80.181:443,e-shop.jeep.com
13.248.142.230:443,*.jeep.com.br
15.197.162.55:443,*.jeep.com.br
15.197.217.22:443,*.jeep.com.br
35.71.187.72:443,*.jeep.com.br
52.57.114.193:443,aemstagems4-appdig-connectivity.jeep.com|aemstagems4-connect.jeep.com|aemstagems4-connectivity.jeep.com
52.57.120.169:443,aemstagems4-appdig-connectivity.jeep.com|aemstagems4-connect.jeep.com|aemstagems4-connectivity.jeep.com
52.72.211.115:443,*.jeep.com.br
52.202.10.134:443,*.jeep.com.br
52.202.43.209:443,*.jeep.com.br
52.203.3.106:443,*.jeep.com.br
52.203.67.11:443,*.jeep.com.br
52.204.113.182:443,e-shop.jeep.com
52.204.165.100:443,*.jeep.com.br
52.205.247.76:443,uat.e-shop.jeep.com
52.223.40.54:443,*.jeep.com.br
75.2.55.200:443,*.jeep.com.br
76.223.15.37:443,*.jeep.com.br
99.83.147.58:443,*.jeep.com.br142.93.194.50:443,www.jeep.com.ve20.50.9.49:443,www.jeep.com.gh
20.157.22.66:443,www.jeep.com.co
23.96.2.73:443,*.jeep.com
40.118.188.179:443,*.jeep.com
104.42.183.148:443,*.jeep.com
